canonical_name,total_mentions,model_count,google_name,match_score,google_rating,google_reviews,price_level,business_status,address
Otto Ristorante,5,3,Otto Ristorante,100.0,4.6,646,3,OPERATIONAL,"32 Maxwell Rd, #01-02/03 Maxwell Chambers, Singapore 069115"
Old Chang Kee,5,2,Old Chang Kee,100.0,3.5,179,1,OPERATIONAL,"230 Victoria St, #B1 - 13, Singapore 188024"
Outram Park Fried Kway Teow Mee,5,2,Outram Park Fried Kway Teow Mee (#02-17),91.2,4.2,828,1,OPERATIONAL,"531A Upper Cross St, #02-17, Singapore 051531"
Pastaria Abate,5,3,Pastaria Abate,100.0,4.4,2313,2,OPERATIONAL,"86 Neil Rd, Singapore 088846"
Restaurant Fiz,5,3,Restaurant Fiz,100.0,4.9,328,,OPERATIONAL,"21 Tg Pagar Rd, #01-01/02 Next to the Fairfield Methodist Church, Singapore 088444"
Roland Restaurant,5,2,Roland Restaurant,100.0,4.4,1942,2,OPERATIONAL,"89 Marine Parade Central, #06-750, Singapore 440089"
Shashlik Restaurant,5,2,Shashlik Restaurant,100.0,4.3,1023,3,OPERATIONAL,"545 Orchard Rd, #06-19 Far East Shopping Centre, Singapore 238882"
Southbridge,5,3,Southbridge,100.0,4.5,2006,2,OPERATIONAL,"80 Boat Quay, Level 5 Rooftop, Singapore 049868"
Summer Palace,5,2,Summer Palace,100.0,4.5,598,3,OPERATIONAL,"1 Cuscaden Rd, Level 3, Singapore 249715"
Super Loco Customs House,5,2,Super Loco Customs House,100.0,4.4,2358,2,OPERATIONAL,"70 Collyer Quay, #01-04 Customs House, Singapore 049323"
Taan Asian Grill Bar,5,3,Taan Asian Grill Bar,100.0,4.2,710,2,OPERATIONAL,"30 Liang Seah St, Singapore 189051"
Tamba,5,2,Tamba,100.0,4.8,269,,OPERATIONAL,"101 Duxton Rd, Singapore 089964"
Tanjong Pagar Plaza Market & Food Centre,5,2,Tanjong Pagar Plaza Market & Food Centre,100.0,4.2,2313,1,OPERATIONAL,"6 Tanjong Pagar Plz, Singapore 081006"
Teck Ee Rice & Teochew Porridge,5,3,Teck Ee Rice & Teochew Porridge,100.0,3.6,54,,OPERATIONAL,"302 Joo Chiat Rd, Singapore 427555"
The Boneless Kitchen,5,2,The Boneless Kitchen,100.0,4.4,1484,2,OPERATIONAL,"1 Irving Pl, #01-31 Commerze @ Irving, Singapore 369546"
The Book Cafe,5,2,The Book Cafe,100.0,4.3,1288,2,OPERATIONAL,"20 Martin Rd, #01-02 Seng Kee Building, Singapore 239070"
The Kind Bowl,5,2,The Kind Bowl,100.0,4.5,963,2,OPERATIONAL,"71 Killiney Rd, Singapore 239527"
Waa Cow,5,2,Waa Cow!,100.0,4.7,1691,2,OPERATIONAL,"2 College Ave W, #01-06, Singapore 138607"
Yantra,5,3,Yantra,100.0,4.3,966,4,OPERATIONAL,"163 Tanglin Rd, #01-129/130/131, Singapore 247933"
The Food Place by Food Republic,5,0,The Food Place by Food Republic,100.0,3.8,1678,,OPERATIONAL,"252 N Bridge Rd, #03-15/16/17, Singapore 179103"
Brazil Churrasco,5,0,Brazil Churrasco,100.0,4.9,4950,2,OPERATIONAL,"14/16 Sixth Ave, Singapore 276476"
Le Petit Chef,5,0,Le Petit Chef - Singapore,100.0,4.4,492,,OPERATIONAL,"70 Amoy St, Singapore 069889"
Braseiro,5,3,BRASEIRO SINGAPORE (JOO CHIAT),100.0,4.5,3103,2,OPERATIONAL,"333 Joo Chiat Rd, Singapore 427588"
Fat Prince,5,4,Fat Prince (Formerly The Prince),100.0,4.3,1410,2,OPERATIONAL,"48 Peck Seah St, Singapore 079317"
Keisuke Tonkotsu King,5,2,Ramen Keisuke Tonkotsu King Four Seasons,100.0,4.3,1528,2,OPERATIONAL,"158 Rochor Rd, Singapore 188433"
Mama Diam,5,3,Mama Diam 妈妈店: Hidden restaurant and cocktail bar (Prinsep Street),100.0,4.6,2141,3,OPERATIONAL,"38 Prinsep St, #01-01, Singapore 188665"
Sen-ryo,5,3,千両 sen-ryo (ION Orchard),100.0,4.6,1711,,OPERATIONAL,"2 Orchard Turn, #03 - 17/18, Singapore 238801"
Mustard Seed,4,4,Mustard Seed,100.0,4.6,106,,OPERATIONAL,"75 Brighton Cres, Singapore 559216"
Relish by Wild Rocket,4,4,Relish by Wild Rocket,100.0,4.0,828,2,OPERATIONAL,"501 Bukit Timah Rd, #02-01, Singapore 259760"
8 Korean BBQ,4,3,8 Korean BBQ,100.0,4.1,505,2,OPERATIONAL,"6 Eu Tong Sen St, #02-79/90 The Central, Singapore 059817"
Altro Zafferano,4,3,Altro Zafferano,100.0,4.5,1303,3,OPERATIONAL,"10 Collyer Quay, Level 43, Singapore 049315"
Allauddin's Briyani,4,3,Allauddin's Briyani,100.0,3.0,28,,OPERATIONAL,"210 Lorong 8 Toa Payoh, #01-79, Toa Payoh Lorong 8, &, Hawker Centre, Market, Singapore 310210"
Aniba,4,3,Aniba,100.0,4.6,874,,OPERATIONAL,"6 Battery Road, Boat Quay, #05-03, Singapore 049909"
Barrel Story of Hibiki,4,3,BARREL STORY OF HIBIKI,100.0,3.9,38,,OPERATIONAL,"19 Cecil St, #01-01 The Quadrant, Singapore 049704"
Bistro du Vin,4,3,Bistro Du Vin,100.0,4.4,830,3,OPERATIONAL,"1 Scotts Rd, #01 - 14 Shaw Centre, Singapore 228208"
Bread Street Kitchen by Gordon Ramsay,4,2,Bread Street Kitchen by Gordon Ramsay,100.0,4.1,4653,3,OPERATIONAL,"10 Bayfront Ave, B1/01-81 The Shoppes, Marina Bay Sands, Singapore 018956"
Chye Seng Huat Hardware,4,3,Chye Seng Huat Hardware,100.0,4.3,2816,2,OPERATIONAL,"150 Tyrwhitt Rd, Singapore 207563"
Eden Restaurant,4,3,Eden Restaurant,100.0,4.5,1196,,OPERATIONAL,"270 Orchard Rd, Singapore 238857"
Elephant Grounds,4,2,Elephant Grounds Singapore,100.0,4.1,99,,OPERATIONAL,"124 Beach Rd, #01-04 Guoco Midtown, Singapore 189771"
Food Junction,4,2,Food Junction,100.0,3.6,1374,,OPERATIONAL,"9 Bishan Pl, #04-01 Junction 8, Singapore 579837"
Food Opera,4,2,Food Opera,100.0,4.1,2960,,OPERATIONAL,"2 Orchard Turn, B4-03/04 ION Orchard, Singapore 238801"
Gin Khao,4,2,Gin Khao,100.0,4.7,634,,OPERATIONAL,"5 Changi Business Park Central 1, B1-36 Changi City Point, Singapore 486038"
Hortus,4,2,Hortus,100.0,4.1,377,,OPERATIONAL,"18 Marina Gardens Dr, #01-09 Level 2 Flower Dome, Singapore 018953"
Hot Tomato,4,3,Hot Tomato,100.0,4.0,1001,2,OPERATIONAL,"23 Serangoon Central, B1- 47, Singapore 556083"
Humpback,4,3,Humpback,100.0,4.5,901,3,OPERATIONAL,"18-20 Bukit Pasoh Rd, Singapore 089834"
Imperial Treasure Super Peking Duck,4,2,Imperial Treasure Super Peking Duck,100.0,4.2,1622,3,OPERATIONAL,"290 Orchard Rd, #05 - 42 / 45, Singapore 238859"
Keyaki,4,2,Keyaki,100.0,4.2,621,,OPERATIONAL,"7 Raffles Blvd, Level 4 Pan Pacific Singapore, Singapore 039595"
Ki Su Shoujin Omakase,4,2,Ki Su Shoujin Omakase,100.0,4.9,219,,OPERATIONAL,"60 Tras St, #01-01, Singapore 078999"
Kra Pow Thai Restaurant,4,3,Kra pow Thai Restaurant,100.0,4.3,1182,2,OPERATIONAL,"14 Scotts Rd, #03-26/27, Singapore 228213"
La Bottega Enoteca,4,3,La Bottega Enoteca,100.0,4.7,2805,3,OPERATIONAL,"346 Joo Chiat Rd, Singapore 427596"
Lawry's The Prime Rib,4,1,Lawry's The Prime Rib Singapore,100.0,4.4,1610,4,OPERATIONAL,"333A Orchard Rd, #04 - 01 / 31, Singapore 238897"
Maggie's,4,3,Maggie's,100.0,4.7,176,,OPERATIONAL,"1 Keong Saik Rd., #01-04, Singapore 089109"
Mellben Seafood,4,2,Mellben Seafood,100.0,4.1,2472,3,OPERATIONAL,"232 Ang Mo Kio Ave 3, #01-1222 St 22, Singapore 560232"
Mott 32,4,3,Mott 32 Singapore,100.0,4.3,1031,4,OPERATIONAL,"10 Bayfront Ave, B1-42-44 The Shoppes, Marina Bay Sands, Singapore 018956"
Nassim Hill Bakery Bistro Bar,4,2,Nassim Hill Bakery Bistro Bar,100.0,4.3,1549,2,OPERATIONAL,"56 Tanglin Rd, #01-03, Singapore 247964"
Omoté,4,2,Omoté,100.0,4.3,1926,2,OPERATIONAL,"301 Upper Thomson Rd, #03-24A Thomson Plaza, Singapore 574408"
Pangium,4,3,Pangium,100.0,4.8,131,,OPERATIONAL,"11 Gallop Road Gallop Entrance, Singapore Botanic Gardens, Singapore 259015"
Revolver,4,2,Revolver,100.0,4.2,444,4,OPERATIONAL,"56 Tras St, Singapore 078995"
Saravanaa Bhavan,4,3,Saravanaa Bhavan,100.0,4.6,3858,2,OPERATIONAL,"320 Serangoon Rd, #01-12 Centrium Square, Singapore 218108"
Sin Hoi Sai Eating House,4,3,Sin Hoi Sai Eating House,100.0,4.2,1242,2,OPERATIONAL,"187 E Coast Rd, Singapore 428893"
Sol & Luna,4,3,Sol & Luna,100.0,4.2,972,,OPERATIONAL,"88 Market St, #17-01 CapitaSpring, Singapore 048948"
The Soup Spoon,4,2,The Soup Spoon,100.0,4.5,628,2,OPERATIONAL,"460 Alexandra Rd, #01-21, Singapore 119963"
Stella Seaside Lounge,4,3,Stella Seaside Lounge,100.0,4.2,2622,2,OPERATIONAL,"11 Changi Coast Walk, Singapore 499740"
Stuff'd,4,2,Stuff'd,100.0,4.8,1458,,OPERATIONAL,"One@Kent Ridge, #01-25, 1 Lower Kent Ridge Rd, Singapore 119082"
Sun Ray Cafe,4,3,Sun Ray Cafe,100.0,4.2,1308,2,OPERATIONAL,"79 Brighton Cres, Singapore 559218"
Sungei Road Laksa,4,1,Sungei Road Laksa,100.0,4.2,2837,1,OPERATIONAL,"27 Jalan Berseh, #01-100, Singapore 200027"
Super Star K,4,2,Super Star K,100.0,4.5,1345,2,OPERATIONAL,"75 Tg Pagar Rd, Singapore 088496"
Sushi Muni,4,3,Sushi Muni,100.0,4.9,74,,OPERATIONAL,"10 Anson Rd, #02-28, 079903 International Plaza, Singapore 079903"
Sushi Tei,4,3,SUSHI TEI,100.0,4.5,1349,2,OPERATIONAL,"10 Tampines Central 1, #04-13 Tampines One, Singapore 529536"
Taylor Adam,4,3,Taylor Adam,100.0,4.7,417,,OPERATIONAL,"1 Raffles Pl, #01-03, Singapore 048616"
Teo Heng Teochew Porridge,4,3,Teo Heng Teochew Porridge,100.0,4.6,49,,OPERATIONAL,"531A Upper Cross St, #01-56, Singapore 051531"
The Ramen Stall,4,2,The Ramen Stall,100.0,4.7,8430,2,OPERATIONAL,"787 N Bridge Rd, Singapore 198755"
Tiong Bahru Hainanese Boneless Chicken Rice,4,2,Tiong Bahru Hainanese Boneless Chicken Rice,100.0,4.0,689,1,OPERATIONAL,"111 Somerset Rd, #01-K10, Singapore 238164"
Un-Yang-Kor-Dai,4,2,Un-Yang-Kor-Dai Singapore,100.0,4.5,1334,2,OPERATIONAL,"57 S Bridge Rd, #01-02, Singapore 058688"
Wheeler's Estate,4,3,Wheeler's Estate,100.0,4.1,3967,3,OPERATIONAL,"2 Park Ln, Singapore 798386"
Meatsmith Telok Ayer,4,0,Meatsmith Telok Ayer,100.0,4.2,1680,3,OPERATIONAL,"167-169 Telok Ayer St, Singapore 068620"
Hand in Hand Beijing Restaurant,4,0,Hand In Hand Beijing Restaurant,100.0,4.1,1201,2,OPERATIONAL,"143 Jln Besar, Singapore 208859"
Xin Peng La Mian Xiao Long Bao,4,0,Xin Peng La Mian Xiao Long Bao,100.0,4.0,242,,OPERATIONAL,"442 Clementi Ave 3, Singapore 120442"
Moc Quan,4,0,Moc Quan,100.0,4.0,471,,OPERATIONAL,"81 Clemenceau Ave, #01 - 23, Singapore 239917"
GRUB,4,3,GRUB Stevens Road,100.0,4.2,1943,2,OPERATIONAL,"30 Stevens Rd, #01-06 Novotel @ Stevens, Singapore 257840"
Jin Hua,4,3,Jin Hua Fish Head Bee Hoon / Sliced Fish Bee Hoon @ Maxwell,100.0,4.3,226,,OPERATIONAL,"1 Kadayanallur St, #01-77, Singapore 069184"
Little Farms Bistro,4,3,"Little Farms Bistro, Katong Point (Restaurant)",100.0,4.6,1249,,OPERATIONAL,"451 Joo Chiat Rd, #01-04, Singapore 427664"
Swee Choon Dim Sum,4,3,Sum Dim Sum,100.0,4.6,5678,2,OPERATIONAL,"161 Jln Besar, Singapore 208876"
Tsuta,4,3,Tsuta Japanese Soba Noodles X Mrs Pho - Jewel Changi Airport,100.0,4.0,1059,,OPERATIONAL,"JEWEL, 78 Airport Blvd., #03 - 218 Singapore Changi Airport, Singapore 819666"
SSADA GIMBAB,4,0,SSADA GIMBAB 싸다김밥 @ Bukit Timah Shopping Centre,100.0,4.6,307,,OPERATIONAL,"170 Upper Bukit Timah Rd, #B1-14, Singapore 588179"
Poke Theory,3,3,Poke Theory,100.0,4.4,586,,OPERATIONAL,"111 Somerset Rd, #01 - 04, Singapore 238164"
Ah Loy Thai,3,2,Ah Loy Thai,100.0,4.1,1524,2,OPERATIONAL,"9 Tan Quee Lan St, #01-04 Bugis, Singapore 188098"
Ahimsa Sanctuary,3,2,ahimsa sanctuary,100.0,4.7,414,,OPERATIONAL,"76 Neil Rd, Singapore 088840"
Ajisen Ramen,3,2,Ajisen Ramen,100.0,4.1,713,2,OPERATIONAL,"21 Choa Chu Kang Ave 4, #04 - 11 / 12, Singapore 689812"
The Alkaff Mansion,3,3,The Alkaff Mansion,100.0,4.3,1272,,OPERATIONAL,"10 Telok Blangah Green, Singapore 109178"
Anju,3,2,ANJU,100.0,4.3,467,,OPERATIONAL,"62 Tras St, Singapore 079001"
Appetite,3,2,Appetite,100.0,4.7,121,,OPERATIONAL,"72A Amoy St, Singapore 069891"
Bakalaki Greek Taverna,3,1,BAKALAKI Greek Taverna,100.0,4.5,4244,3,OPERATIONAL,"38A Martin Rd, Singapore 239072"
Bar-Roque Grill,3,3,Bar-Roque Grill,100.0,4.7,1475,3,OPERATIONAL,"165 Tg Pagar Rd, #01-00, Singapore 088539"
Basilico,3,2,Basilico,100.0,4.5,1600,3,OPERATIONAL,"1 Cuscaden Rd, Level 2, Singapore 249715"
Boomarang Bistro & Bar,3,1,Boomarang Bistro & Bar,100.0,4.0,1610,2,OPERATIONAL,"60 Robertson Quay, #01-15 The Quayside, Singapore 238252"
Brothers Ramen,3,3,Brothers Ramen,100.0,4.5,645,2,OPERATIONAL,"10 Anson Rd, #01-20 International Plaza, Singapore 079903"
Canton Paradise,3,2,Canton Paradise,100.0,4.2,467,2,OPERATIONAL,"23 Serangoon Central, #02-04 NEX, Singapore 556083"
Carousel,3,2,Carousel,100.0,4.2,1421,3,OPERATIONAL,"25 Scotts Rd, Royal Plaza, Singapore 228220"
Casa Cicheti,3,2,Casa Cicheti,100.0,4.4,213,,OPERATIONAL,"78 Guan Chuan St, #01-41, Singapore 160078"
Chin Lee Restaurant,3,2,Chin Lee Restaurant,100.0,4.3,1701,2,OPERATIONAL,"115 Bedok North Rd, #01-285, Singapore 460115"
Chong Pang Nasi Lemak,3,3,Chong Pang Nasi Lemak,100.0,4.1,2055,1,OPERATIONAL,"447 Sembawang Rd, Singapore 758404"
Chuan Kee Seafood,3,2,Chuan Kee Seafood,100.0,4.1,1468,2,OPERATIONAL,"1091A Lower Delta Rd, Singapore 169207"
Colony,3,1,Colony,100.0,4.6,2832,4,OPERATIONAL,"7 Raffles Ave., Singapore 039799"
Crossings Cafe,3,3,Crossings Cafe,100.0,4.4,722,2,OPERATIONAL,"#01-01 55 Waterloo St, Catholic Centre, Singapore 187954"
Cuba Libre Café & Bar,3,1,Cuba Libre Café & Bar,100.0,4.0,972,2,OPERATIONAL,"3E River Valley Rd 01-03/04 @, Clarke Quay, The Circuit, Singapore 179024"
Curry Times,3,2,Curry Times,100.0,3.8,533,2,OPERATIONAL,"238 Thomson Rd, #02 - 33 / 34 / 41 / 42, Singapore 307683"
Depot Road Zhen Shan Mei Laksa,3,2,Depot Road Zhen Shan Mei Laksa,100.0,3.7,271,1,OPERATIONAL,"120 Bukit Merah Lane 1, #01-75 Alexandra Village Food Centre, Singapore 151120"
Dona Manis Cake Shop,3,1,Dona Manis Cake Shop,100.0,4.4,656,,OPERATIONAL,"865 Mountbatten Rd, B1 93, Singapore 437844"
Edge,3,2,Edge,100.0,4.2,1485,,OPERATIONAL,"7 Raffles Blvd, Level 3 Pan Pacific, Singapore 039595"
Fiasco by Juice,3,1,Fiasco by JUICE,100.0,4.8,184,,OPERATIONAL,"66 Kampong Bugis, level m, Singapore 338987"
Forage,3,2,Forage,100.0,4.6,75,,OPERATIONAL,"60 Mandai Lake Rd, Level 4 Mandai Rainforest Resort by Banyan Tree, Singapore 729979"
Haidilao Hot Pot,3,2,Haidilao Hot Pot,100.0,4.5,2919,3,OPERATIONAL,"2 Jurong East Street 21, #03-01 IMM Building, Singapore 609601"
Hamamoto,3,2,Hamamoto,100.0,4.9,108,,OPERATIONAL,"58 Tras St, Singapore 078997"
Hard Rock Cafe,3,3,Hard Rock Cafe Singapore,100.0,4.2,2901,3,OPERATIONAL,"50 Cuscaden Rd, #02-01 Hpl House, Singapore 249724"
Hong Lim Market & Food Centre,3,2,Hong Lim Market & Food Centre,100.0,4.3,6532,1,OPERATIONAL,"531A Upper Cross St, Singapore 051531"
Teochew Restaurant Huat Kee,3,2,潮州发记 Teochew Restaurant Huat Kee,91.5,3.6,380,2,OPERATIONAL,"#02-01 RELC Building, 30 Orange Grove Rd, Singapore 258352"
Imperial Treasure Fine Teochew Cuisine,3,3,Imperial Treasure Fine Teochew Cuisine,100.0,4.2,558,3,OPERATIONAL,"Orchard Turn, #03-05 ION Orchard, 2, Singapore 238801"
Jai Thai,3,2,Jai Thai,100.0,4.2,803,1,OPERATIONAL,"7 Clover Wy, Singapore 579080"
Janggut Laksa,3,2,Janggut Laksa,100.0,3.5,227,,OPERATIONAL,"133 New Bridge Rd, B1-49A Chinatown Point, Singapore 059413"
Jing Hua Xiao Chi,3,2,Jing Hua Xiao Chi Singapore,100.0,4.0,862,1,OPERATIONAL,"21/23 Neil Rd, Singapore 088814"
Kampong Glam Cafe,3,3,Kampong Glam Cafe,100.0,4.2,3079,1,OPERATIONAL,"17 Bussorah St, Singapore 199438"
Koufu,3,1,Koufu,100.0,3.5,1105,1,OPERATIONAL,"88 Tanglin Halt Rd, #01-08 Commonwealth View, Singapore 141088"
La Vache!,3,3,La Vache! Singapore,100.0,4.7,150,,OPERATIONAL,"40 Gemmill Ln, #01-03, Singapore 069269"
LiXin Teochew Fishball Noodles,3,1,LiXin Teochew Fishball Noodles,100.0,4.8,166,,OPERATIONAL,"10 Sinaran Drive, 2, #04-14/15/16 Novena Square, Singapore 307506"
Locanda,3,2,Locanda,100.0,4.6,221,,OPERATIONAL,"109 Rowell Rd, Singapore 208033"
Luke's Oyster Bar & Chop House,3,3,Luke's Oyster Bar & Chop House,100.0,4.5,590,4,OPERATIONAL,"22 Gemmill Ln, Singapore 069257"
Madame Fan,3,2,Madame Fan,100.0,4.3,577,,OPERATIONAL,"32 Beach Rd, The NCO Club, Singapore 189764"
Man Man Japanese Unagi Restaurant,3,2,Man Man Japanese Unagi Restaurant,100.0,4.4,3270,2,OPERATIONAL,"1 Keong Saik Rd., #01-01, Singapore 089109"
Marguerite,3,2,Marguerite,100.0,4.6,223,,OPERATIONAL,"18 Marina Gardens Dr, #01-09 Flower Dome, Singapore 018953"
May Pho Culture,3,3,May Pho Culture,100.0,4.4,587,,OPERATIONAL,"150 S Bridge Rd, #01-16, Singapore 058727"
Mensho Tokyo,3,2,MENSHO TOKYO SG,100.0,4.6,1454,,OPERATIONAL,"252 N Bridge Rd, #03-43 Raffles City, Singapore 179103"
Mr Stork,3,3,Mr. Stork,100.0,4.4,1353,3,OPERATIONAL,"5 Fraser St, Level 39, Andaz 189354"
Nam Sing Hokkien Fried Mee,3,2,Nam Sing Hokkien Fried Mee,100.0,3.3,409,1,OPERATIONAL,"51 Old Airport Rd, #01-32, Singapore 390051"
Niku Niku Oh Kome,3,2,Niku Niku Oh!! Kome,100.0,4.3,128,,OPERATIONAL,"26 Sentosa Gateway, #01-228 Resorts World Sentosa, Singapore 098138"
Nutmeg & Clove,3,1,Nutmeg & Clove,100.0,4.6,585,,OPERATIONAL,"8 Purvis St, Singapore 188587"
PS.Cafe at East Coast Park,3,2,PS.Cafe East Coast Park,93.9,4.3,3430,3,OPERATIONAL,"1110 ECP, Singapore 449880"
PastaMania,3,1,PastaMania,100.0,4.8,2851,2,OPERATIONAL,"57 Anchorvale Rd, #02-02 Sengkang Sport Centre, Singapore 544964"
Plain Vanilla,3,2,Plain Vanilla,100.0,4.1,201,,OPERATIONAL,"501 Bukit Timah Rd, #01-03A, Singapore 259760"
Ponggol Nasi Lemak,3,2,Ponggol Nasi Lemak,100.0,3.8,1835,2,OPERATIONAL,"965 Upper Serangoon Rd, Singapore 534721"
Praelum Wine Bistro,3,2,Praelum Wine Bistro,100.0,4.7,389,2,OPERATIONAL,"4 Duxton Hl, Singapore 089590"
Racines,3,3,RACINES,100.0,4.2,435,,OPERATIONAL,"9 Wallich St, Level 5, Singapore 078885"
Restaurant Born,3,2,Restaurant Born,100.0,4.7,170,,OPERATIONAL,"1 Neil Rd, #01-01, Singapore 088804"
Restaurant Espoir,3,2,Restaurant Espoir,100.0,4.4,616,,OPERATIONAL,"70 Amoy St, Singapore 069889"
Restaurant Ibid,3,3,Restaurant Ibid,100.0,4.9,922,,OPERATIONAL,"18 N Canal Rd, Singapore 048830"
Roast Paradise,3,2,Roast Paradise,100.0,4.0,886,1,OPERATIONAL,"51 Old Airport Rd, #01-121 Food Centre, Singapore 390051"
Rod Dee Thai Cafe,3,3,Rod Dee Thai Cafe,100.0,4.1,211,,OPERATIONAL,"5 Teo Hong Rd, MRT Exit 4, Singapore 088323"
The Roti Prata House,3,2,The Roti Prata House,100.0,3.8,3659,1,OPERATIONAL,"246 Upper Thomson Rd, #246 M 246, Singapore 574370"
Scaled by Ah Hua Kelong,3,2,Scaled by Ah Hua Kelong,100.0,4.6,1212,2,OPERATIONAL,"8 Hamilton Rd, Singapore 209179"
Zhang Ji Shanghai La Mian Xiao Long Bao,3,2,Zhang Ji Shanghai La Mian Xiao Long Bao,100.0,4.5,293,1,OPERATIONAL,"120 Bukit Merah Lane 1, #01-56, Singapore 150120"
Shunjuu Izakaya,3,1,Shunjuu Izakaya,100.0,4.3,684,,OPERATIONAL,"30 Robertson Quay, #01-15 Riverside View, Singapore 238251"
Soup Restaurant,3,1,Soup Restaurant,100.0,4.4,567,2,OPERATIONAL,"101 Thomson Rd, #B1 - 10 United Square Shopping Mall, Singapore 307591"
Summerlong,3,2,Summerlong,100.0,,,,OPERATIONAL,"01 Robertson Quay, Singapore 238252"
Sushi Airways,3,2,Sushi Airways,100.0,4.4,898,3,OPERATIONAL,"20a Baghdad St, Singapore 199659"
Swee Guan Hokkien Mee,3,2,Swee Guan Hokkien Mee,100.0,3.5,1094,,OPERATIONAL,"5 Lor 29 Geylang, Singapore 388060"
TIANN'S,3,3,TIANN’S,100.0,4.4,621,2,OPERATIONAL,"71 Seng Poh Rd, #01-35, Singapore 160071"
Tandoori Corner,3,2,Tandoori Corner,100.0,4.4,614,2,OPERATIONAL,"400 Balestier Rd, #01-12 Balestier Plaza, Singapore 329802"
Tandoori Culture,3,2,Tandoori Culture,100.0,4.4,498,,OPERATIONAL,"4 Hillview Rise, #02-03 Hillv2, Singapore 667979"
Tentsuru,3,2,Tentsuru,100.0,4.8,108,,OPERATIONAL,"29 Tanglin Rd, Floor 2, Singapore 247911"
The Bark Cafe,3,2,The Bark Cafe,100.0,4.1,1314,2,OPERATIONAL,"1000 Upper Changi Rd N, Singapore 507707"
The Cliff,3,1,THE CLIFF,100.0,4.3,959,3,OPERATIONAL,"2 Bukit Manis Rd, Sentosa, Singapore 099891"
The Dempsey Project,3,2,The Dempsey Project,100.0,4.5,3634,,OPERATIONAL,"Block 9 Dempsey Rd, #01-12, Singapore 247697"
The Malayan Council,3,3,The Malayan Council,100.0,4.7,2605,,OPERATIONAL,"10 Winstedt Rd, #01-17, Singapore 227977"
The Peranakan Restaurant,3,2,The Peranakan Restaurant Singapore,100.0,4.3,591,,OPERATIONAL,"57 Lengkok Bahru, #01-477, Singapore 151057"
The Velvet Cut,3,1,The Velvet Cut,100.0,4.5,151,,OPERATIONAL,"51 Joo Chiat Rd, #01-02, Singapore 427373"
Thirty9,3,2,Thirty9,100.0,4.8,327,,OPERATIONAL,"39 Duxton Hl, Singapore 089617"
Tiffin Room,3,2,Tiffin Room,100.0,4.4,615,3,OPERATIONAL,"1 Beach Rd, Singapore 189673"
Ting Heng Seafood Restaurant,3,2,Ting Heng Seafood Restaurant,100.0,4.0,757,2,OPERATIONAL,"82 Tiong Poh Rd, Singapore 160082"
VIBE Bistro,3,2,VIBE Bistro,100.0,4.5,404,,OPERATIONAL,"1 Raffles Pl, #01-03/04/05/06, Singapore 048616"
W39 Bistro & Bakery,3,2,W39 Bistro & Bakery,100.0,4.3,907,2,OPERATIONAL,"39 Jln Mas Puteh, Singapore 128637"
White House Teochew Porridge,3,3,白家潮州糜 White House Teochew Porridge,90.3,4.1,680,,OPERATIONAL,"1096 Serangoon Rd, Singapore 328193"
Wildseed Cafe at The Alkaff Mansion,3,2,Wildseed Café at The Alkaff Mansion,100.0,4.5,3119,,OPERATIONAL,"10 Telok Blangah Green, Singapore 109178"
Willow,3,1,Willow,100.0,4.5,298,,OPERATIONAL,"39 Hongkong St, Singapore 059678"
Xiao Long Kan Hotpot,3,2,Xiao Long Kan Hotpot,100.0,4.7,1805,,OPERATIONAL,"200 Victoria St, #02-54, Singapore 188021"
Yardbird Southern Table & Bar,3,2,Yardbird Southern Table and Bar,100.0,4.1,2582,3,OPERATIONAL,"10 Bayfront Ave, B1-07 The Shoppes, Marina Bay Sands, Singapore 018956"
Yi Xin Vegetarian,3,3,Yi Xin Vegetarian,100.0,4.6,1036,1,OPERATIONAL,"43 Temple St, Singapore 058584"
Zhen Zhen Porridge,3,2,Zhen Zhen Porridge,100.0,4.3,274,1,OPERATIONAL,"1 Kadayanallur St, #01-54, Singapore 069184"
Zorba The Greek Taverna,3,1,Zorba The Greek Taverna,100.0,4.4,2126,,OPERATIONAL,"3A River Valley Road, Clarke Quay, Block A ORA 1, Singapore 179020"
Wild Child Pizzette,3,0,Wild Child Pizzette,100.0,4.2,370,,OPERATIONAL,"50 Circular Rd, Singapore 049405"
Chimichanga Holland Village,3,0,Chimichanga Holland Village,100.0,4.6,2757,,OPERATIONAL,"3 Lor Liput, #01-02/03 Holland Piazza, Singapore 277725"
Ryo Sushi,3,0,Ryo Sushi,100.0,4.3,612,,OPERATIONAL,"1 Tras Link, #01-06 Orchid Hotel, Singapore 078867"
Mr. Bean,3,0,Mr Bean,100.0,4.9,202,,OPERATIONAL,"33 Sengkang W Ave, B1-K6 The Seletar Mall, Singapore 797653"
Micasa Kitchen & Bar,3,0,Micasa Kitchen & Bar,100.0,4.4,814,2,OPERATIONAL,"102C Jln Jurong Kechil, #01-01, Singapore 598602"
Jew Kit Hainanese Chicken Rice,3,0,Jew Kit Hainanese Chicken Rice,100.0,4.2,647,1,OPERATIONAL,"105 Killiney Rd, Singapore 239546"
Sakae Sushi,3,0,Sakae Sushi,100.0,2.8,98,,OPERATIONAL,"217 E Coast Rd, #01-01, Singapore 428915"
