canonical_name,total_mentions,model_count,google_name,match_score,google_rating,google_reviews,price_level,business_status,address
National Kitchen by Violet Oon,14,3,National Kitchen by Violet Oon,100.0,4.4,1668,3,OPERATIONAL,"1 St Andrew's Rd, #02–01 National Gallery, Singapore 178957"
Seroja,14,3,Seroja,100.0,4.7,229,,OPERATIONAL,"7 Fraser St, #01-30/31/32/33 Duo Galleria, Singapore 189356"
The Living Cafe,14,4,The Living Cafe,100.0,3.7,496,2,OPERATIONAL,"779 Bukit Timah Rd, Singapore 269758"
Coastes,14,4,"Coastes - Beach Bar & Restaurant | Siloso Beach, Sentosa",100.0,3.9,2736,2,OPERATIONAL,"50 Siloso Bch Walk, #01-06, Singapore 099000"
The Clifford Pier,13,4,The Clifford Pier,100.0,4.5,1230,3,OPERATIONAL,"80 Collyer Quay, Singapore 049326"
Nakhon Kitchen,13,3,Nakhon Kitchen,100.0,4.2,1307,2,OPERATIONAL,"136 Bedok North Ave 3, #01-162, Singapore 460136"
Tandoor,13,4,Tandoor,100.0,4.1,393,4,OPERATIONAL,"11 Cavenagh Rd, Singapore 229616"
The Masses,13,4,The Masses Singapore,100.0,4.3,1305,2,OPERATIONAL,"15 STAMFORD ROAD, @, #01-84 CAPITOL SINGAPORE, THE ARCADE, Singapore 178905"
Piedra Negra,12,4,Piedra Negra,100.0,4.2,2044,2,OPERATIONAL,"241 Beach Rd, Singapore 189753"
Toast Box,12,4,Toast Box,100.0,3.7,526,1,OPERATIONAL,"809 French Rd, #01-32/33 Kitchener Complex, Singapore 200809"
Amoy Street Food Centre,11,4,Amoy Street Food Centre,100.0,4.3,3523,1,OPERATIONAL,"7 Maxwell Rd, Singapore 069111"
Esquina,11,3,Esquina,100.0,4.4,1206,3,OPERATIONAL,"16 Jiak Chuan Rd, Singapore 089267"
Grain Traders,11,4,Grain Traders,100.0,4.4,462,2,OPERATIONAL,"138 Market St, #01-01/02/03, Singapore 048946"
Original Sin,11,4,Original Sin,100.0,4.3,1173,3,OPERATIONAL,"01-62 Jln Merah Saga, % Arabica Singapore Chip Bee Gardens, Singapore 278115"
PS.Cafe at Harding Road,11,2,PS.Cafe Harding Road,93.0,4.4,5978,3,OPERATIONAL,"28B Harding Rd, Singapore 249549"
Tanjong Beach Club,11,3,Tanjong Beach Club,100.0,4.4,3764,3,OPERATIONAL,"120 Tanjong Beach Walk, Singapore 098942"
A Noodle Story,10,4,A Noodle Story,100.0,4.1,242,,OPERATIONAL,"7 Maxwell Rd, #01-39, Singapore 069111"
Artemis Grill & Sky Bar,10,4,Artemis Grill & Sky Bar,100.0,4.6,1633,4,OPERATIONAL,"138 Market St, #40-01 CapitaGreen, Singapore 048946"
Birds of Paradise Gelato Boutique,10,3,Birds of Paradise Gelato Boutique - Jewel,91.7,4.5,1159,,OPERATIONAL,"78 Airport Blvd., #01 - 254, Singapore 819666"
Chinatown Complex,10,3,Chinatown Complex,100.0,4.2,8538,2,OPERATIONAL,"335 Smith St, Singapore 050335"
Latteria Mozzarella Bar,10,3,Latteria Mozzarella Bar,100.0,4.5,1460,2,OPERATIONAL,"40 Duxton Hl, Singapore 089618"
Paradise Dynasty,10,4,Paradise Dynasty,100.0,4.3,1018,2,OPERATIONAL,"435 Orchard Rd, #01-18 Wisma Atria, Singapore 238877"
